model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
llama-moe-6.7b,23375226857776,0,0,GROUP_BY forward all2all,12.4378,12.4378,12.4382,0.0000,0.0004
llama-moe-6.7b,23375226857296,0,0,GROUP_BY forward all2all,12.4378,12.4378,12.4382,0.0000,0.0004
llama-moe-6.7b,23375226873136,0,0,AGGREGATE forward all2all,21.2919,21.2919,23.8082,0.0000,2.5163
llama-moe-6.7b,23375226872656,0,0,AGGREGATE forward all2all,21.2919,21.2919,23.8082,0.0000,2.5163
llama-moe-6.7b,23375226864976,0,1,GROUP_BY forward all2all,36.3223,36.3223,36.3227,0.0000,0.0004
llama-moe-6.7b,23375226865456,0,1,GROUP_BY forward all2all,36.3223,36.3223,36.3227,0.0000,0.0004
llama-moe-6.7b,23375226856336,1,0,GROUP_BY forward all2all,36.3343,36.3343,36.3347,0.0000,0.0004
llama-moe-6.7b,23375226856816,1,0,GROUP_BY forward all2all,36.3343,36.3343,36.3347,0.0000,0.0004
llama-moe-6.7b,23375226853456,0,1,AGGREGATE forward all2all,45.1764,45.1764,47.6927,0.0000,2.5163
llama-moe-6.7b,23375226853936,0,1,AGGREGATE forward all2all,45.1764,45.1764,47.6927,0.0000,2.5163
llama-moe-6.7b,23375226855376,1,0,AGGREGATE forward all2all,45.1799,45.1799,47.6962,0.0000,2.5163
llama-moe-6.7b,23375226855856,1,0,AGGREGATE forward all2all,45.1800,45.1800,47.6962,0.0000,2.5163
llama-moe-6.7b,23375226846736,0,2,GROUP_BY forward all2all,60.2171,60.2171,60.2175,0.0000,0.0004
llama-moe-6.7b,23375226847216,0,2,GROUP_BY forward all2all,60.2171,60.2171,60.2175,0.0000,0.0004
llama-moe-6.7b,23375226852496,1,1,GROUP_BY forward all2all,60.2208,60.2208,60.2212,0.0000,0.0004
llama-moe-6.7b,23375226852976,1,1,GROUP_BY forward all2all,60.2208,60.2208,60.2212,0.0000,0.0004
llama-moe-6.7b,23375226854896,2,0,GROUP_BY forward all2all,60.2222,60.2222,60.2226,0.0000,0.0004
llama-moe-6.7b,23375226854416,2,0,GROUP_BY forward all2all,60.2222,60.2222,60.2226,0.0000,0.0004
llama-moe-6.7b,23375226845776,0,2,AGGREGATE forward all2all,69.0614,69.0614,71.5776,0.0000,2.5163
